county_fips,county_code,county_name,year,temp_avg,precip_total
27097,MN-097,Morrison County,2011,41.958333333333336,400.1
27097,MN-097,Morrison County,2012,46.40833333333333,340.26
27097,MN-097,Morrison County,2013,41.88333333333333,341.99
27097,MN-097,Morrison County,2014,38.68333333333333,401.09000000000003
27097,MN-097,Morrison County,2015,42.13333333333333,346.89
27097,MN-097,Morrison County,2016,45.525,382.09000000000003
27097,MN-097,Morrison County,2017,44.56666666666666,411.48
27097,MN-097,Morrison County,2018,41.300000000000004,360.8
27097,MN-097,Morrison County,2019,40.19166666666667,388.95
27097,MN-097,Morrison County,2020,42.31666666666667,386.67
27097,MN-097,Morrison County,2021,43.98333333333333,297.48
27097,MN-097,Morrison County,2022,42.15833333333333,341.82
27097,MN-097,Morrison County,2023,43.01666666666667,307.47
27099,MN-099,Mower County,2011,43.96666666666667,462.22999999999996
27099,MN-099,Mower County,2012,48.291666666666664,312.1
27099,MN-099,Mower County,2013,44.38333333333333,433.86
